fileID,f1,f2,vot,notes
bi03_kaka,1142.40,1892.82,24.79,
bi03_kaka1,834.35,1495.34,31.15,
bi03_kaka2,837.83,1649.89,32.43,
bi03_keke,786.14,2377.43,22.71,
bi03_keke1,525.75,2286.63,20.89,
bi03_keke2,407.58,2545.13,17.20,
bi03_kiki,423.56,2669.33,30.65,
bi03_kiki1,351.82,2701.10,21.61,
bi03_kiki2,343.79,2680.56,22.97,
bi03_koko,548.77,837.66,26.30,
bi03_koko1,562.60,896.04,28.84,
bi03_koko2,784.90,1141.21,28.95,
bi03_kuku,405.03,757.54,23.17,
bi03_kuku1,272.89,1668.43,26.87,
bi03_kuku2,412.97,827.78,24.55,
bi03_paka,1047.61,1693.33,9.37,
bi03_paka1,761.03,1622.95,7.16,
bi03_paka2,649.58,1777.86,9.31,
bi03_peke,369.13,1768.35,8.56,
bi03_peke1,559.59,2332.82,9.15,
bi03_peke2,906.14,2459.01,12.39,
bi03_piki,370.66,2705.61,7.86,
bi03_piki1,331.53,2866.24,10.37,
bi03_piki2,1882.12,2992.36,9.40,
bi03_poko,525.62,899.69,9.89,
bi03_poko1,617.07,1804.22,10.57,
bi03_poko2,517.74,875.41,14.98,
bi03_puku,532.26,1108.09,7.46,
bi03_puku1,680.64,1496.31,33.31,
bi03_puku2,422.57,827.55,10.87,
bi03_taka,809.16,1642.10,14.49,
bi03_taka1,848.10,1638.78,13.94,
bi03_taka2,864.07,1531.46,9.95,
bi03_teke,471.40,2347.88,13.43,
bi03_teke1,453.40,2403.39,11.81,
bi03_teke2,436.45,2438.59,7.79,
bi03_tiki,357.12,2505.60,12.24,
bi03_tiki1,948.45,2361.58,12.85,
bi03_tiki2,418.00,1904.92,15.42,
bi03_toko,798.86,931.33,11.43,
bi03_toko1,759.41,1100.58,15.63,
bi03_toko2,773.50,1066.64,15.19,
bi03_tuku,650.64,771.72,13.77,
bi03_tuku1,400.55,739.07,14.10,
bi03_tuku2,401.93,756.23,12.53,
